 Site,Site code,DecdegS,DecdegE,Country,Province or district,RFZ,Biome,Stratigraphic context,Dating technique,Material dated, Species,Lab ID,Date,Uncertainty,Archaeological Period,Archaeological Sub-chronology,Sample context,Site Type,delta 13,refcode,Notes
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,Layer B:B8-9/+50,conventional 14C,plant remains,,KN-I-846,1460,55,LSA,Ceramic LSA,,rock shelter,,freundlich1980rm,
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,Layer C,conventional 14C,charcoal,,KN-I-867,7200,75,LSA,,,rock shelter,,freundlich1980rm,microlithic LSA
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,E (lower),conventional 14C,charcoal,,KN-I-869,33370,50,MSA,,,rock shelter,,freundlich1980rm,
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,Layer B:A8/+45,conventional 14C,plant remains,,KN-I-870,1670,55,LSA,Ceramic LSA,,rock shelter,,freundlich1980rm,
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,Layer A:B3/-12,conventional 14C,charcoal,,Pta-1009,320,40,LSA,Final LSA,,rock shelter,-25.8,vogelsang2010ems,
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,Layer D,conventional 14C,charcoal,,Pta-1010,13050,120,LSA,,,rock shelter,,wendt1976mas,
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,Layer C:B9,conventional 14C,charcoal,,Pta-1019,6480,80,LSA,,,rock shelter,,vogel1981prd,microlithic LSA
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,Layer C,conventional 14C,charcoal,,Pta-1020,7280,80,LSA,,,rock shelter,,vogel1981prd,microlithic LSA
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,Layer D,conventional 14C,charcoal,,Pta-1021,12510,120,LSA,,,rock shelter,,wendt1976mas,
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,Layer E:A8x2/-15,conventional 14C,plant remains,,Pta-1032,21600,300,MSA,Final MSA,,rock shelter,,vogel1981prd,short-lived
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,D (base),conventional 14C,plant remains,,Pta-1039,18500,190,LSA,ELSA,,rock shelter,,wendt1976mas,short-lived
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,E (upper),conventional 14C,charcoal,,Pta-1040,26300,400,MSA,Final MSA,,rock shelter,,wendt1976mas,
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,E ,conventional 14C,charcoal,,Pta-1041,39800,1700,MSA,,,rock shelter,,freundlich1980rm,
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,Layer B:A8X/+35,conventional 14C,plant remains,,Pta-1918,1960,45,LSA,Ceramic LSA,,rock shelter,,vogel1981prd,
Arrisdrift,ARS,-28.467,16.683,Namibia,||Karas Region,W,Desert Biome,5cm,conventional 14C,charcoal,,Pta-1933,1200,50,LSA,,,open site,,vogel1981prd,
Arrisdrift,ARS,-28.467,16.683,Namibia,||Karas Region,W,Desert Biome,pot scrapings,conventional 14C,other,,Pta-1945,1250,130,LSA,,,open site,,vogel1981prd,
